                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1625,                 4.1866,                 1.4775,                 0.0301,                0.56941,                  0.072,                0.04974,                 1.0229,                 3.6107,                 1.3628,             9.9839e-05,             9.9839e-05,             9.9839e-05
                      2,                 1.1142,                 3.5313,                 1.4314,                0.33631,                0.32508,                0.25308,                0.16752,                 1.1793,                 2.8009,                 1.5452,             0.00019885,             0.00019885,             0.00019885
                      3,                 1.1341,                 3.0196,                   1.48,                0.27477,                0.42458,                 0.3474,                0.22773,                 1.1854,                 2.5601,                 1.5657,             0.00029586,             0.00029586,             0.00029586
                      4,                 1.1356,                 2.6572,                 1.4641,                 0.4388,                0.45384,                0.40961,                0.30121,                 1.1866,                 2.6524,                 1.5539,               0.000294,               0.000294,               0.000294
                      5,                 1.1463,                 2.5049,                 1.4718,                0.61864,                0.42021,                0.50657,                0.37375,                 1.1714,                 2.2562,                 1.5292,               0.000294,               0.000294,               0.000294
                      6,                 1.1173,                 2.2668,                  1.427,                0.53698,                0.56143,                 0.5392,                0.38554,                 1.1701,                 2.0101,                 1.5255,               0.000291,               0.000291,               0.000291
                      7,                 1.0964,                 2.1522,                 1.4049,                0.51936,                0.57935,                 0.5361,                0.36288,                 1.1788,                 2.0906,                 1.4897,               0.000288,               0.000288,               0.000288
                      8,                 1.1031,                 2.0947,                 1.4177,                0.67707,                0.53882,                0.63307,                0.47281,                 1.0853,                 1.8421,                 1.4236,               0.000285,               0.000285,               0.000285
                      9,                 1.0988,                 1.9922,                  1.407,                0.66309,                0.60755,                0.65409,                0.47366,                 1.1795,                  1.696,                 1.5007,               0.000282,               0.000282,               0.000282
                     10,                 1.0702,                 1.9063,                 1.3706,                0.65076,                0.66212,                0.67308,                 0.5129,                 1.0836,                 1.6912,                 1.3854,               0.000279,               0.000279,               0.000279
                     11,                 1.0477,                 1.8431,                 1.3515,                0.71128,                0.58594,                0.67582,                 0.4952,                 1.0959,                 1.7199,                  1.427,               0.000276,               0.000276,               0.000276
                     12,                  1.037,                 1.7936,                 1.3508,                0.64454,                0.67293,                0.68635,                0.49673,                 1.1088,                 1.6389,                 1.4235,               0.000273,               0.000273,               0.000273
                     13,                 1.0206,                 1.7383,                 1.3238,                0.58994,                0.69825,                0.68836,                0.50017,                 1.0896,                  1.663,                 1.3767,                0.00027,                0.00027,                0.00027
                     14,                 1.0223,                 1.6845,                 1.3378,                0.70151,                0.59294,                0.69295,                0.51573,                 1.0959,                 1.6181,                  1.408,               0.000267,               0.000267,               0.000267
                     15,                 1.0082,                 1.6187,                 1.3121,                0.66221,                0.70106,                0.72266,                 0.5398,                 1.0947,                 1.4936,                  1.396,               0.000264,               0.000264,               0.000264
                     16,                 1.0115,                 1.5591,                 1.3104,                 0.7689,                0.62639,                0.74103,                0.54999,                 1.0913,                 1.4607,                 1.3909,               0.000261,               0.000261,               0.000261
                     17,                0.99107,                 1.5155,                 1.2933,                0.73876,                 0.6404,                0.71886,                 0.5397,                 1.0917,                 1.4523,                 1.3897,               0.000258,               0.000258,               0.000258
                     18,                0.98438,                 1.5298,                 1.3016,                0.71574,                0.69797,                 0.7245,                0.54384,                 1.0927,                 1.4785,                 1.3985,               0.000255,               0.000255,               0.000255
                     19,                0.97154,                 1.5267,                 1.2974,                0.63798,                0.72907,                0.72474,                0.54183,                 1.0848,                 1.4809,                 1.3818,             0.00025201,             0.00025201,             0.00025201
                     20,                 0.9854,                 1.4664,                 1.3006,                0.78025,                0.70875,                0.75696,                0.56243,                 1.0868,                 1.3531,                 1.3921,             0.00024901,             0.00024901,             0.00024901
                     21,                 0.9682,                 1.4394,                 1.2819,                 0.6785,                0.69421,                0.71331,                0.52794,                 1.1029,                 1.5446,                 1.3855,             0.00024601,             0.00024601,             0.00024601
                     22,                0.97256,                 1.4185,                 1.2894,                0.71753,                0.67812,                0.73425,                0.55533,                 1.0701,                 1.4034,                  1.359,             0.00024301,             0.00024301,             0.00024301
                     23,                0.96073,                 1.3706,                 1.2761,                0.74626,                 0.6758,                0.73737,                0.56711,                 1.0684,                 1.4969,                 1.3592,             0.00024001,             0.00024001,             0.00024001
                     24,                0.95305,                 1.3656,                 1.2695,                0.72873,                 0.6795,                0.74238,                0.57036,                 1.0418,                 1.4071,                 1.3361,             0.00023701,             0.00023701,             0.00023701
                     25,                0.96177,                 1.3462,                 1.2618,                0.70231,                0.73064,                0.75945,                 0.5766,                 1.0656,                 1.4202,                 1.3553,             0.00023401,             0.00023401,             0.00023401
                     26,                0.92784,                 1.2949,                 1.2544,                  0.683,                0.71909,                0.74674,                 0.5737,                 1.0514,                 1.4016,                 1.3421,             0.00023101,             0.00023101,             0.00023101
                     27,                0.94695,                 1.2965,                 1.2611,                0.74085,                0.70355,                0.74494,                0.56725,                   1.05,                 1.3589,                  1.331,             0.00022801,             0.00022801,             0.00022801
                     28,                0.92876,                 1.2328,                 1.2364,                0.68534,                0.70383,                0.72573,                0.55644,                 1.0756,                 1.4422,                 1.3595,             0.00022501,             0.00022501,             0.00022501
                     29,                 0.9429,                 1.2765,                 1.2572,                0.70255,                0.75394,                0.74443,                0.57041,                 1.0604,                 1.4039,                 1.3525,             0.00022201,             0.00022201,             0.00022201
                     30,                 0.9405,                 1.2208,                 1.2545,                0.74937,                0.69187,                0.75574,                0.58985,                 1.0275,                 1.3307,                 1.3209,             0.00021901,             0.00021901,             0.00021901
                     31,                0.90763,                 1.2025,                 1.2294,                0.74839,                0.72271,                0.76325,                 0.5956,                 1.0287,                  1.266,                 1.3161,             0.00021601,             0.00021601,             0.00021601
                     32,                0.92222,                 1.2079,                 1.2484,                0.70104,                 0.7427,                0.77297,                0.59585,                 1.0528,                 1.2641,                 1.3524,             0.00021301,             0.00021301,             0.00021301
                     33,                0.91332,                 1.1896,                 1.2319,                0.71309,                0.75734,                 0.7725,                0.58382,                 1.0722,                  1.293,                 1.3698,             0.00021001,             0.00021001,             0.00021001
                     34,                0.90937,                 1.1634,                 1.2318,                0.67857,                0.74561,                0.74397,                0.55103,                 1.0772,                 1.3389,                 1.3617,             0.00020701,             0.00020701,             0.00020701
                     35,                0.90401,                 1.1363,                 1.2174,                0.77466,                0.69398,                0.77684,                0.59054,                 1.0616,                 1.2857,                 1.3443,             0.00020401,             0.00020401,             0.00020401
                     36,                 0.8832,                  1.098,                 1.2146,                0.75303,                0.74333,                0.76826,                 0.5886,                 1.0688,                 1.2984,                 1.3575,             0.00020101,             0.00020101,             0.00020101
                     37,                0.89361,                 1.1226,                 1.2229,                0.79571,                0.71059,                0.77863,                 0.6002,                 1.0624,                  1.257,                 1.3593,             0.00019801,             0.00019801,             0.00019801
                     38,                0.89231,                 1.0831,                 1.2015,                0.77927,                0.67754,                0.75944,                0.56879,                 1.0749,                 1.3415,                 1.3619,             0.00019501,             0.00019501,             0.00019501
                     39,                0.87812,                 1.0923,                 1.1988,                0.77233,                0.71816,                0.76857,                0.58709,                 1.0461,                 1.2453,                 1.3265,             0.00019201,             0.00019201,             0.00019201
                     40,                0.88292,                 1.0653,                  1.202,                0.74082,                0.76086,                0.77923,                0.60052,                 1.0428,                 1.2268,                 1.3377,             0.00018901,             0.00018901,             0.00018901
                     41,                0.88911,                  1.068,                 1.2099,                0.74268,                0.75692,                0.78575,                0.60753,                 1.0218,                 1.2425,                 1.3124,             0.00018601,             0.00018601,             0.00018601
                     42,                0.87294,                 1.0562,                  1.201,                0.74361,                0.74112,                0.78325,                0.59851,                 1.0673,                 1.2559,                 1.3496,             0.00018301,             0.00018301,             0.00018301
                     43,                0.87662,                 1.0562,                 1.2019,                 0.7494,                0.74248,                0.78003,                0.60125,                 1.0661,                 1.2555,                 1.3445,             0.00018001,             0.00018001,             0.00018001
                     44,                0.86427,                  1.037,                 1.1928,                0.75404,                0.72221,                0.77069,                0.58836,                 1.0574,                 1.3051,                 1.3413,             0.00017701,             0.00017701,             0.00017701
                     45,                0.86745,                 1.0453,                 1.1852,                0.74629,                0.75927,                0.77819,                 0.5966,                 1.0552,                 1.2778,                 1.3296,             0.00017401,             0.00017401,             0.00017401
                     46,                0.87181,                 1.0355,                 1.1981,                0.80377,                 0.7299,                0.79564,                0.61081,                  1.053,                 1.1866,                 1.3308,             0.00017101,             0.00017101,             0.00017101
